EmpID,PerfScoreID,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date
10026,4,4.6,5,0,1/17/2019
10084,3,4.96,3,6,2/24/2016
10196,3,3.02,3,0,5/15/2012
10088,3,4.84,5,0,1/3/2019
10069,3,5.0,4,0,2/1/2016
10002,4,5.0,5,0,1/7/2019
10194,3,3.04,3,4,1/2/2019
10062,3,5.0,4,0,2/25/2019
10114,3,4.46,3,0,1/25/2019
10250,3,5.0,5,6,2/18/2019
10252,3,4.2,4,0,1/30/2016
10242,3,4.2,3,0,5/6/2016
10012,4,4.28,4,5,2/25/2019
10265,3,4.6,4,0,2/14/2019
10066,3,5.0,5,0,3/2/2017
10061,3,5.0,4,0,4/5/2017
10023,4,4.4,3,0,1/14/2019
10055,3,5.0,5,0,1/14/2019
10245,3,4.5,4,5,1/15/2015
10277,3,4.2,4,0,1/11/2019
10046,3,5.0,3,0,1/14/2019
10226,3,4.2,3,0,1/10/2019
10003,4,5.0,3,0,2/27/2019
10294,2,2.0,3,0,2/27/2019
10267,3,4.8,5,0,3/4/2014
10199,3,3.5,5,7,1/10/2016
10081,3,5.0,4,3,2/18/2019
10175,3,3.39,3,0,2/20/2014
10177,3,3.35,4,0,3/4/2013
10238,3,4.5,2,6,1/15/2019
10184,3,3.19,3,0,2/1/2019
10203,3,3.5,5,0,1/21/2019
10188,3,3.14,5,0,2/10/2013
10107,3,4.51,4,0,2/21/2019
10181,3,3.25,5,0,1/14/2019
10150,3,3.84,3,5,1/21/2019
10001,4,5.0,3,0,2/22/2019
10085,3,4.96,4,6,1/30/2019
10115,3,4.43,3,0,2/1/2019
10082,3,5.0,5,6,2/18/2019
10040,3,5.0,5,0,1/21/2019
10067,3,5.0,4,0,2/12/2019
10108,3,4.5,5,7,1/15/2019
10210,3,3.3,4,0,2/19/2019
10154,3,3.8,5,0,1/14/2019
10200,3,3.0,5,0,1/19/2019
10240,3,4.3,4,0,3/10/2015
10168,3,3.58,5,0,1/30/2019
10220,3,4.7,3,6,2/27/2019
10275,3,4.2,5,0,5/3/2012
10269,3,4.2,4,0,5/4/2011
10029,4,4.1,4,0,2/28/2019
10261,3,4.4,5,0,1/14/2019
10292,2,2.0,3,0,5/1/2016
10282,2,4.13,2,0,1/14/2019
10019,4,3.7,5,0,2/4/2019
10094,3,4.73,5,0,2/14/2019
10193,3,3.04,3,6,1/22/2019
10132,3,4.12,5,0,1/28/2019
10083,3,5.0,3,4,1/2/2019
10099,3,4.62,4,0,1/24/2019
10212,3,3.1,5,8,2/12/2019
10056,3,5.0,3,0,2/25/2019
10143,3,3.96,4,0,2/27/2019
10311,1,4.3,4,3,1/31/2019
10070,3,5.0,4,0,4/2/2016
10155,3,3.79,5,5,1/25/2019
10306,1,1.93,3,0,1/30/2019
10100,3,4.62,5,0,5/6/2015
10310,1,1.12,2,0,1/31/2019
10197,3,3.01,5,7,1/23/2019
10276,3,4.3,4,0,2/19/2019
10304,1,2.3,1,0,1/29/2019
10284,2,3.88,4,0,1/18/2019
10207,3,3.4,5,0,2/19/2019
10133,3,4.11,4,6,2/25/2019
10028,4,4.3,5,5,1/4/2019
10006,4,4.77,5,0,1/27/2019
10105,3,4.52,4,0,1/15/2019
10211,3,2.9,3,0,1/21/2019
10064,3,5.0,3,0,4/9/2017
10247,3,4.7,5,0,2/13/2019
10235,3,4.2,3,0,1/11/2019
10299,1,3.0,1,0,2/25/2019
10280,2,5.0,4,0,4/12/2018
10296,2,2.3,3,0,1/15/2017
10290,2,2.1,5,4,8/10/2012
10263,3,4.4,5,0,2/22/2019
10136,3,4.0,4,0,1/7/2019
10189,3,3.13,3,0,2/4/2016
10308,1,1.56,5,0,1/3/2019
10309,1,1.2,3,6,2/4/2019
10049,3,5.0,5,0,1/29/2019
10093,3,4.76,5,0,4/5/2013
10163,3,3.66,3,0,1/7/2012
10305,3,2.0,5,0,1/28/2019
10015,4,5.0,5,5,1/7/2019
10080,3,5.0,3,2,2/8/2019
10258,3,4.3,3,0,1/27/2019
10273,3,4.7,4,5,2/1/2019
10111,3,4.5,3,0,2/18/2019
10257,3,4.2,4,0,2/26/2019
10159,3,3.73,3,0,1/16/2019
10122,3,4.24,4,0,4/29/2016
10142,3,3.97,4,0,1/15/2014
10283,2,3.97,4,0,1/20/2015
10018,4,3.9,4,0,2/7/2019
10255,3,4.5,5,0,1/25/2019
10246,3,4.6,4,4,1/20/2015
10228,3,4.3,5,7,1/10/2019
10243,3,4.3,5,0,2/18/2019
10031,4,4.5,4,0,2/18/2019
10300,1,3.0,3,0,3/6/2011
10101,3,4.61,4,5,1/28/2019
10237,3,4.6,3,0,2/7/2019
10051,3,5.0,3,0,1/14/2019
10218,3,4.4,5,0,2/21/2019
10256,3,4.1,5,0,2/15/2019
10098,3,4.63,3,0,1/4/2019
10059,3,5.0,5,0,6/3/2013
10234,3,4.2,5,5,1/28/2019
10109,3,4.5,5,0,2/1/2013
10125,3,4.2,4,0,2/22/2019
10074,3,5.0,3,0,1/8/2019
10097,3,4.64,4,0,5/2/2015
10007,4,4.76,4,0,2/15/2019
10129,3,4.17,4,0,2/11/2019
10075,3,5.0,3,0,1/30/2013
10167,3,3.6,5,0,1/30/2019
10195,3,3.03,5,0,3/5/2012
10112,3,4.48,5,6,1/3/2019
10272,3,4.5,4,0,1/21/2019
10182,3,3.24,3,4,4/15/2015
10248,3,4.8,4,0,1/7/2019
10201,3,3.0,5,0,1/18/2019
10214,3,4.5,3,0,2/14/2019
10160,3,3.72,3,0,2/1/2013
10289,2,2.34,2,0,4/12/2012
10139,3,3.99,3,0,1/14/2019
10227,3,4.1,3,0,1/17/2019
10236,3,4.3,5,0,2/22/2019
10009,4,4.6,4,0,2/25/2019
10060,3,5.0,5,0,1/21/2019
10034,4,4.7,4,0,2/14/2018
10156,3,3.75,3,5,2/11/2019
10036,4,4.3,3,0,1/11/2019
10138,3,4.0,4,0,2/3/2016
10244,3,4.5,5,0,3/30/2013
10192,3,3.07,4,0,1/23/2019
10231,3,4.3,5,0,1/22/2019
10089,3,4.83,3,0,1/17/2019
10166,3,3.6,5,0,3/1/2015
10170,3,3.49,4,0,1/30/2013
10208,3,3.1,3,0,2/6/2019
10176,3,3.38,3,0,1/21/2019
10165,3,3.65,5,0,1/17/2019
10113,3,4.46,5,6,1/7/2019
10092,3,4.78,4,0,2/15/2015
10106,3,4.52,3,0,2/20/2014
10052,3,5.0,5,0,2/4/2019
10038,3,5.0,4,4,1/17/2019
10249,3,4.9,3,0,2/20/2013
10232,3,4.1,5,7,1/8/2019
10087,3,4.88,3,0,7/2/2017
10134,3,4.1,4,0,1/28/2019
10251,3,4.1,3,0,2/22/2019
10103,3,4.53,3,0,1/29/2019
10017,4,4.1,3,0,1/21/2019
10186,3,3.18,4,0,3/2/2018
10137,3,4.0,3,0,2/18/2019
10008,4,4.64,4,5,1/25/2019
10096,3,4.65,4,0,6/10/2016
10035,4,4.2,4,0,2/12/2019
10057,3,5.0,3,0,1/23/2019
10004,4,5.0,4,0,2/2/2015
10191,3,3.08,4,0,4/1/2017
10219,3,4.6,4,0,2/26/2019
10077,3,5.0,3,0,1/21/2019
10073,3,5.0,4,0,7/2/2012
10279,3,4.1,3,0,1/22/2019
10110,3,4.5,5,4,1/14/2019
10053,3,5.0,4,0,1/10/2019
10076,3,5.0,5,0,2/7/2019
10145,3,3.93,3,0,1/30/2019
10202,3,3.4,4,0,1/29/2019
10128,3,4.18,4,0,2/5/2016
10068,3,5.0,4,0,1/21/2019
10116,3,4.37,3,0,1/14/2019
10298,1,3.0,2,0,1/14/2013
10213,3,3.7,3,0,1/8/2019
10288,2,2.39,3,6,2/22/2019
10025,4,4.7,3,0,1/14/2019
10223,3,4.1,4,0,1/31/2019
10151,3,3.81,3,6,2/11/2019
10254,3,4.4,4,0,1/17/2019
10120,3,4.29,5,0,1/28/2019
10216,3,4.1,4,0,1/22/2019
10079,3,5.0,3,6,2/25/2019
10215,3,4.3,3,0,3/2/2013
10185,3,3.18,3,0,3/6/2016
10063,3,5.0,5,0,2/18/2019
10037,4,4.0,3,0,2/13/2019
10042,3,5.0,5,0,1/25/2019
10206,3,3.6,5,0,1/2/2019
10104,3,4.53,5,0,1/16/2019
10303,1,2.33,2,0,3/9/2018
10078,3,5.0,3,0,7/2/2013
10121,3,4.28,3,0,1/25/2019
10021,4,5.0,3,0,2/7/2019
10281,2,4.25,3,0,2/4/2019
10041,3,5.0,5,0,1/14/2019
10148,3,3.89,4,0,3/4/2013
10005,4,5.0,5,3,8/16/2015
10259,3,4.7,4,5,1/16/2016
10286,2,3.54,5,0,4/6/2017
10297,2,2.4,5,0,2/6/2015
10171,3,3.45,4,0,5/13/2014
10032,4,4.2,5,0,1/10/2013
10130,3,4.16,5,0,3/5/2015
10217,3,4.3,3,0,1/14/2019
10016,4,4.6,5,7,1/4/2019
10050,3,5.0,3,0,2/20/2012
10164,3,3.66,3,0,2/25/2019
10124,3,4.2,5,0,2/1/2019
10187,3,3.17,4,0,4/2/2018
10225,3,4.8,3,0,1/7/2019
10262,3,4.5,5,0,4/2/2013
10131,3,4.15,4,0,4/19/2014
10239,3,4.4,4,6,2/6/2019
10152,3,3.8,5,0,2/4/2018
10140,3,3.98,3,0,1/28/2019
10058,3,5.0,4,0,3/30/2015
10011,4,4.36,5,0,2/11/2019
10230,3,4.5,4,0,10/22/2011
10224,3,4.2,5,0,1/6/2012
10047,3,5.0,3,0,1/10/2015
10285,2,3.6,3,0,4/5/2016
10020,4,3.6,5,0,2/11/2019
10162,3,3.69,5,6,2/14/2019
10149,3,3.88,3,7,2/13/2018
10086,3,4.94,3,5,2/6/2019
10054,3,5.0,4,0,1/31/2019
10065,3,5.0,5,0,7/2/2018
10198,3,3.6,5,7,2/18/2019
10222,3,4.3,4,6,1/4/2015
10126,3,4.2,3,6,2/13/2019
10295,2,2.6,4,0,2/18/2019
10260,3,4.6,5,0,2/5/2018
10233,3,4.1,3,0,1/10/2019
10229,3,4.2,3,5,4/20/2015
10169,3,3.51,3,0,2/18/2019
10071,3,5.0,5,0,2/6/2019
10179,3,3.31,3,6,1/7/2019
10091,3,4.81,4,0,2/15/2019
10178,3,3.32,3,7,1/14/2019
10039,3,5.0,3,5,1/15/2019
10095,3,4.68,4,0,4/2/2015
10027,4,4.3,3,0,1/28/2019
10291,2,2.4,4,0,1/16/2019
10153,3,3.8,4,4,8/15/2013
10157,3,3.73,3,0,1/24/2019
10119,3,4.3,3,5,2/8/2019
10180,3,3.27,4,5,1/14/2019
10302,1,2.4,2,1,2/25/2019
10090,3,4.83,5,0,2/14/2019
10030,4,4.1,4,0,3/2/2015
10278,3,4.1,4,0,2/7/2019
10307,1,1.81,2,0,1/17/2019
10147,3,3.9,5,5,1/18/2019
10266,3,4.7,3,0,1/11/2019
10241,3,4.1,4,0,1/31/2019
10158,3,3.73,4,0,1/24/2019
10117,3,4.36,5,0,1/24/2019
10209,3,3.4,5,0,1/31/2019
10024,4,4.5,5,5,2/18/2019
10173,3,3.4,3,6,1/2/2019
10221,3,4.5,5,0,2/15/2012
10146,3,3.93,3,0,4/18/2017
10161,3,3.69,3,0,1/28/2019
10141,3,3.98,4,0,3/2/2016
10268,3,4.1,4,0,7/14/2010
10123,3,4.21,5,0,1/14/2019
10013,4,4.1,3,0,1/4/2019
10287,2,2.44,5,0,2/11/2019
10044,3,5.0,3,5,4/15/2015
10102,3,4.6,3,4,2/12/2017
10270,3,4.4,3,0,1/5/2014
10045,3,5.0,4,7,1/14/2019
10205,3,2.81,3,0,1/17/2019
10014,4,4.5,5,0,2/1/2016
10144,3,3.93,3,0,2/27/2019
10253,3,4.5,4,0,1/18/2019
10118,3,4.33,3,7,2/15/2017
10022,4,4.3,5,0,2/1/2015
10183,3,3.21,3,0,1/29/2019
10190,3,3.11,5,0,2/12/2019
10274,3,4.5,3,0,1/2/2012
10293,2,2.5,3,0,9/5/2014
10172,3,3.42,4,7,1/4/2019
10127,3,4.2,4,8,2/5/2019
10072,3,5.0,5,0,5/15/2014
10048,3,5.0,3,0,2/15/2015
10204,3,3.6,5,0,2/6/2011
10264,3,4.3,4,0,6/2/2014
10033,4,5.0,3,0,1/19/2016
10174,3,3.4,4,0,2/21/2019
10135,3,4.07,4,0,2/28/2019
10301,1,3.2,2,0,9/2/2015
10010,4,4.6,5,6,2/21/2019
10043,3,5.0,3,5,2/1/2019
10271,3,4.5,5,0,1/30/2019
